date,High Innovation,High Adaptation-change,High Upskilling,Low Advocacy
2019-10-31,0.09183181975920957,0.190917802147678,0.0560491681760622,0.05666474843419533
2019-11-29,0.04350515246752629,0.16676223427690262,0.0555744514218115,0.04426524166379919
2019-12-31,0.03449069298367058,0.16510749806456726,0.09032373311951347,0.07212716358261306
2020-01-31,0.025277078996096325,0.16321142766315833,0.09355615741304701,0.07131795189140644
2020-02-28,0.031933607988746227,0.1440161834846766,0.02169464949634059,0.07385811256617836
2020-03-31,0.01600521164330293,0.20467193414405427,0.005731761322326556,0.09835738836105645
2020-04-30,0.03354450042188861,0.16414035837189211,-0.019187124305695913,0.0880156859253508
2020-05-29,0.02941305194094712,0.16686143627013672,-0.02630926477587403,0.07027807076467996
2020-06-30,0.0031516270574817318,0.16904747824699984,-0.04192406693115036,0.05747490556245494
2020-07-31,-0.013263918464453406,0.15876975111906555,-0.05457258493035,0.06289273297328135
2020-08-31,-0.01597962062535707,0.17091154658716867,-0.048445093857768406,0.058238756752222565
2020-09-30,0.08058386403283047,0.21876221982000976,-0.01873097441139715,0.13527882880285624
2020-10-30,0.2881893056665521,0.3718275675611453,-0.018884537727048456,0.2012990448784776
2020-11-30,0.26640013007197694,0.4425445282008609,-0.00678374120406211,0.21004165474063452
2020-12-31,0.2263143220063477,0.4270862824511068,-0.047349767625351036,0.19060617949264946
2021-01-29,0.16620884767321453,0.4106654318505061,-0.17405794429131116,0.11580629632660866
2021-02-26,0.18490442734222512,0.43938258015152143,-0.20471043085360865,0.15716297495889459
2021-03-31,0.20389678239635278,0.4734804988651412,-0.2181611532285191,0.16819650468854713
2021-04-30,0.21111266952519864,0.5050673455025334,-0.19574149850666592,0.23144483498894494
2021-05-28,0.16808826279870986,0.4947604201749386,-0.15472536827106795,0.19832414605204904
2021-06-30,0.15867851136817512,0.46519940870709914,-0.20971956154684177,0.14881256362195885
2021-07-30,0.12898245778520806,0.441589979007025,-0.24176649015720292,0.11910542276863204
2021-08-31,0.14833945845199537,0.5518620148272378,-0.18252085994692396,0.20597165472532145
2021-09-30,0.07919612941065389,0.4930025294956617,-0.1346313890382616,0.19006386915862072
2021-10-29,0.05646880727823452,0.4560030378417224,-0.11844530824904895,0.14208516392203882
2021-11-30,0.0054477082358503,0.4606099395383904,-0.12437356368394335,0.17184326549995466
2021-12-31,0.054217339028508546,0.4987085346648507,-0.07966584720518258,0.23549182435939914
2022-01-31,-0.009923254344228527,0.44821717535806593,-0.07469551974795804,0.20440013526253234
2022-02-28,0.03739833999722725,0.4758901147398539,0.06667605425743384,0.30007955513485884
2022-03-31,-0.006128555272179037,0.4573530251800221,0.06439763188249287,0.23469442419633663
2022-04-29,0.13256026922766845,0.4673850306621417,0.06770569643936741,0.32080689467108015
2022-05-31,0.07866573247079245,0.45597721800950086,0.06674826646588727,0.3185279220700476
2022-06-30,0.09730652420968416,0.3445305692830499,0.1292693694825634,0.29634915432164954
2022-07-29,0.0924246464454227,0.4073831126074574,0.1375120525353951,0.33975981634798313
2022-08-31,0.07559500999692254,0.44429207121125547,0.15114634433535928,0.35739315683565853
2022-09-30,0.0886455223523161,0.46220084476046114,0.2748511950018513,0.3841124266809348
2022-10-31,0.04938196359747554,0.4903235220719915,0.22951013999464906,0.37009213153218995
2022-11-30,0.07181694003564021,0.47181695958253167,0.2678613193651462,0.3742175971573479
2022-12-30,0.07268086621993783,0.4839299754840848,0.31194492360874704,0.43120430033541773
2023-01-31,0.13322315331899198,0.5093410741550877,0.30494076314445273,0.45505282617703235
2023-02-28,0.14561974534065292,0.49985959823796744,0.33293346913579946,0.4539203715697636
2023-03-31,0.1553521837240801,0.522968735946236,0.29771991594000247,0.441233583825102
2023-04-28,0.14804026623371727,0.5365792215749351,0.27114748261239874,0.40704304733729246
2023-05-31,0.13417422314954913,0.5117822371120746,0.23455677335921266,0.3833127167995538
2023-06-30,0.22611309107154387,0.5558262998028126,0.3228413408087156,0.4380620578598883
2023-07-31,0.14581802620566803,0.4395785808161478,0.31964645889085075,0.40355215831218394
2023-08-31,0.13281445065120812,0.49457338723352723,0.3319157517415283,0.3978238424320679
2023-09-29,0.09810838447120308,0.5024860699683852,0.2834671584452884,0.33132036128026493
2023-10-31,0.06929766955203447,0.5163337532233548,0.2964350417964214,0.34197049269261093
2023-11-30,0.04543740764216646,0.44592715479624856,0.3040661196955043,0.3256168644120609
2023-12-29,0.08465657603167573,0.4741293893085752,0.30863687912806587,0.32674378123927716
2024-01-31,-0.034940884681190415,0.38725483395749816,0.2511608626077635,0.19415887100241272
2024-02-29,-0.061989623641819536,0.3384381867291312,0.2872347293520396,0.20800957759727
2024-03-28,-0.01770474638642551,0.3599270491880885,0.31961327215522783,0.2330927632547994
2024-04-30,0.03508766910619264,0.37454818286478586,0.32548304079969503,0.2494341598435692
2024-05-31,0.1340221059328558,0.40051115220314376,0.48898133360969653,0.35823790515074033
2024-06-28,0.1257292340755376,0.36487341506509313,0.5004906811682612,0.3293986086143118
2024-07-31,0.06253782028411492,0.34390195257604395,0.46592016486952204,0.3188240044014641
2024-08-30,0.0756688492815829,0.33613348763891354,0.4647587885743245,0.29556728322045533
2024-09-30,0.13143978953218305,0.3464831189599503,0.46452218954245894,0.34333714771882323
2024-10-31,0.1698265780063784,0.3810642968130693,0.4568688618383866,0.34468886322493103
2024-11-29,0.16659830604183157,0.3033502021041152,0.38371723164641075,0.2832099347534558
2024-12-31,0.11666373190864143,0.21884736395056337,0.30669732391224175,0.18720404556850923
